choice,trial_all,trial,partial_feedback,unchosen_outcome,unchosen_outcome_rel,outcome,outcome_rel,sub,phase,transfer_trial,transfer_choice
2.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,120,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120,training,,
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,120,training,,
1.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,120,training,,
1.0,3.0,3.0,1.0,0.0,1.0,-1.0,0.0,120,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,120,training,,
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,120,training,,
1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,120,training,,
1.0,7.0,3.0,0.0,0.0,1.0,-1.0,0.0,120,training,,
1.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,120,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,120,training,,
1.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,120,training,,
2.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
1.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,120,training,,
1.0,8.0,4.0,1.0,-0.1,0.0,-0.1,0.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,120,training,,
2.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,120,training,,
2.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
1.0,7.0,3.0,0.0,0.0,1.0,-1.0,0.0,120,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.1,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,-0.1,0.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.1,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,-0.1,0.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,120,training,,
1.0,8.0,4.0,1.0,0.0,1.0,-0.1,0.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.1,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,120,training,,
2.0,8.0,4.0,1.0,0.0,1.0,-0.1,0.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,8.0,4.0,1.0,0.0,1.0,-0.1,0.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,120,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.1,1.0,120,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,120,training,,
2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,120,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,120,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,120,training,,
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,121,training,,
2.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,121,training,,
1.0,3.0,3.0,0.0,0.0,1.0,-1.0,0.0,121,training,,
1.0,4.0,4.0,1.0,-0.1,0.0,-0.1,0.0,121,training,,
1.0,2.0,2.0,1.0,0.1,1.0,0.1,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
1.0,2.0,2.0,1.0,0.1,1.0,0.0,0.0,121,training,,
2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
1.0,2.0,2.0,1.0,0.1,1.0,0.0,0.0,121,training,,
1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,121,training,,
2.0,3.0,3.0,0.0,0.0,1.0,-1.0,0.0,121,training,,
1.0,2.0,2.0,1.0,0.1,1.0,0.0,0.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,2.0,2.0,1.0,0.1,1.0,0.0,0.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,-0.1,0.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,121,training,,
2.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
1.0,2.0,2.0,1.0,0.1,1.0,0.0,0.0,121,training,,
2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,-0.1,0.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.1,1.0,0.1,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,4.0,4.0,1.0,0.0,1.0,-0.1,0.0,121,training,,
2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,2.0,2.0,1.0,0.1,1.0,0.0,0.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,-0.1,0.0,121,training,,
2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,121,training,,
2.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.1,1.0,0.1,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,4.0,4.0,1.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,121,training,,
2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,3.0,3.0,0.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
1.0,7.0,3.0,1.0,0.0,1.0,-1.0,0.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,121,training,,
1.0,8.0,4.0,0.0,0.0,1.0,-0.1,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,121,training,,
2.0,6.0,2.0,0.0,0.1,1.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,6.0,2.0,0.0,0.1,1.0,0.0,0.0,121,training,,
2.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,121,training,,
2.0,6.0,2.0,0.0,0.1,1.0,0.1,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
1.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,121,training,,
2.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,121,training,,
1.0,7.0,3.0,1.0,0.0,1.0,-1.0,0.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,121,training,,
1.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,121,training,,
1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.1,1.0,0.1,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
1.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
1.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,121,training,,
1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,121,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,121,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,121,training,,
2.0,6.0,2.0,0.0,0.1,1.0,0.0,0.0,121,training,,
1.0,7.0,3.0,1.0,0.0,1.0,-1.0,0.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,121,training,,
2.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,121,training,,
1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,121,training,,
2.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,121,training,,
1.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,122,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,122,training,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.1,1.0,0.0,0.0,122,training,,
1.0,3.0,3.0,1.0,0.0,1.0,-1.0,0.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.1,1.0,0.0,0.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122,training,,
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122,training,,
1.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,122,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
1.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,122,training,,
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,122,training,,
2.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,122,training,,
1.0,3.0,3.0,1.0,0.0,1.0,-1.0,0.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.1,1.0,0.0,0.0,122,training,,
1.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,122,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,122,training,,
2.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,122,training,,
1.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,3.0,3.0,1.0,0.0,1.0,-1.0,0.0,122,training,,
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,122,training,,
1.0,2.0,2.0,0.0,0.1,1.0,0.0,0.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,122,training,,
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,122,training,,
1.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122,training,,
2.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,122,training,,
1.0,2.0,2.0,0.0,0.1,1.0,0.0,0.0,122,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,122,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,122,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,122,training,,
1.0,8.0,4.0,1.0,0.0,1.0,-0.1,0.0,122,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,122,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,122,training,,
2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,122,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,122,training,,
1.0,8.0,4.0,1.0,-0.1,0.0,-0.1,0.0,122,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,122,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,7.0,3.0,0.0,0.0,1.0,-1.0,0.0,122,training,,
2.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,122,training,,
2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,122,training,,
1.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,122,training,,
1.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,122,training,,
1.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,122,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,122,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,122,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,122,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,122,training,,
2.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,122,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,122,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,-0.1,0.0,122,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,122,training,,
1.0,7.0,3.0,0.0,0.0,1.0,-1.0,0.0,122,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,122,training,,
2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,122,training,,
1.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,122,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,122,training,,
1.0,7.0,3.0,0.0,0.0,1.0,-1.0,0.0,122,training,,
2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,122,training,,
